유치원명,주소,행정동,위도,경도
양지유치원,서울특별시 금천구 독산로108길 37,독산3동,37.4797388,126.9069902
서울국악유치원,서울특별시 금천구 시흥대로38길 62,시흥3동,37.445972,126.9065566122815
시내유치원,서울특별시 금천구 가산로 99,가산동,37.4712772,126.900436
동산유치원,서울특별시 금천구 시흥대로152길 35,독산3동,37.4778173,126.8999296
예림유치원,서울특별시 금천구 금하로 793,시흥2동,37.45354565,126.9195402303841
서울두산초등학교병설유치원,서울특별시 금천구 범안로11길 3,독산1동,37.46711620000001,126.8909993578977
한신유치원,서울특별시 금천구 한내로 62,독산1동,37.4577072,126.8897671
동일유치원,서울특별시 금천구 탑골로10길 45,시흥2동,37.45199575,126.9166881776886
럭키유치원,서울특별시 금천구 시흥대로47길 43,시흥1동,37.4500631,126.8996127137012
운현유치원,서울특별시 금천구 금하로 816,시흥2동,37.44857655,126.9186931972898
서울독산초등학교병설유치원,서울특별시 금천구 시흥대로104길 31,독산2동,37.46524455,126.9000321052792
서울금나래초등학교병설유치원,서울특별시 금천구 시흥대로79길 37,독산1동,37.45812915,126.8962653883496
서울문교초등학교병설유치원,서울특별시 금천구 독산로54길 102,독산2동,37.4665029,126.908695186923
서울상계초등학교병설유치원,서울특별시 노원구 상계로9길 39,상계2동,37.6576532,127.0673864
한울유치원,서울특별시 노원구 덕릉로122길 12-6,상계3.4동,37.6687138,127.0810284
효천유치원,서울특별시 노원구 중계로18길 14,중계본동,37.65185,127.0780688
영은유치원,서울특별시 노원구 동일로213길 78,상계6.7동,37.64834,127.05933
키즈위즈유치원,서울특별시 노원구 덕릉로86길 65,중계4동,37.6608397,127.0787916
공릉 사라유치원,서울특별시 노원구 동일로198가길 13,공릉1동,37.6308154,127.0654712
상원유치원,서울특별시 노원구 노원로19길 33,중계2.3동,37.64459,127.06833
서울수락초등학교병설유치원,서울특별시 노원구 동일로 1745,상계1동,37.6847903,127.05546
육사유치원,서울 노원구 공릉동 24-1,공릉2동,37.63021,127.08818
이레유치원,서울특별시 노원구 월계로55길 16,월계3동,37.63291,127.05964
온누리유치원,서울특별시 노원구 동일로227길 47,상계8동,37.66728,127.05394
꽃동산유치원,서울특별시 노원구 공릉로 257,공릉2동,37.6268136,127.0790507
학여울유치원,서울특별시 노원구 동일로207길 186,하계2동,37.6384439,127.0609387
효자유치원,서울특별시 노원구 마들로 111,월계3동,37.6307063,127.0631762
보고유치원,서울특별시 노원구 석계로13길 23-14,월계1동,37.6201897,127.0625495
대원유치원,서울특별시 노원구 동일로228길 29,상계9동,37.6688,127.0604801
보배유치원,서울특별시 노원구 마들로3길 37,월계3동,37.6277995,127.0633391
우리유치원,서울특별시 노원구 한글비석로 281,중계1동,37.6661065,127.0694862698991
초안유치원,서울특별시 노원구 우이천로 102,월계2동,37.6279409,127.0473411
서울수암초등학교병설유치원,서울특별시 노원구 중계로12길 9,중계본동,37.6472799,127.0817751
고운유치원,서울특별시 노원구 동일로208길 34,중계2.3동,37.6439256,127.065991
까치유치원,서울특별시 노원구 덕릉로79길 23,중계4동,37.6568353,127.0738439
동화나라유치원,서울특별시 노원구 덕릉로 780,상계3.4동,37.6759999,127.0873997
