행정동명,2023년09월_전체세대,2023년09월_1인세대,2023년09월_2인세대,2023년09월_3인세대,2023년09월_4인세대,2023년09월_5인세대,2023년9월_6인가구이상,채소가게수,제로웨이스트 가게수,유치원수,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율,도시농업(프로그램수),도시농업(시설수),초등학교수,사업체수 (개),종사자수 (명),채식식당수,인구수,1_0대,1_10대,1_20대,1_30대,1_40대,1_50대,1_60대,1_70대,1_80대,1_90대,1_기타,2_0대,2_10대,2_20대,2_30대,2_40대,2_50대,2_60대,2_70대,2_80대,2_90대,2_기타,카페수,승하차인원_버스_지하철,1점포당_1년_매출액,행정동별_1년_매출액
사직동,4553,2298,933,654,511,112,45,2.0,2.0,1.0,2417,41.0,142.175,68,1.1577,6,24.26,0.0,0.0,1.0,5035,56013,6.0,18178.0,496,574,916,1224,1252,1370,1158,570,422,66,4,482,754,1236,1632,1554,1630,1320,822,582,110,4,146.0,783977.0,54910763.55,64025950296.0
삼각산동,11547,2752,2640,2786,2692,547,130,2.0,2.0,1.0,9092,91.0,13.848,5,0.6214,4,0.98,0.0,0.0,1.0,1405,2949,1.0,61506.0,2468,3908,3218,3092,5472,5488,3328,1806,712,42,4,2244,3792,3254,3452,6044,5426,3906,2354,1312,178,6,27.0,154767.0,28725089.08,344701069.0
삼선동,11469,5991,2311,1553,1218,297,99,6.0,0.0,1.0,5638,74.0,113.172,61,0.9255,4,1.47,1.0,1.0,1.0,2507,11157,2.0,44798.0,852,1768,3756,3014,3082,3812,2738,1438,730,76,4,802,1738,4648,3178,3150,3720,2922,1972,1242,150,6,59.0,693711.0,14926200.92,3895738439.0
삼성1동,5297,1993,1186,956,849,214,99,2.0,0.0,1.0,3334,52.0,12.345,2,1.9432,3,17.05,0.0,0.0,1.0,7353,73562,7.0,12345.0,349,652,829,849,914,983,774,483,196,16,1,338,515,733,897,1070,1076,894,527,209,39,1,111.0,680504.0,71903691.3,46018362429.0
삼성2동,13656,5859,2496,2388,2301,460,152,4.0,0.0,0.0,7098,84.0,12.345,2,1.2413,1,0.1,1.0,1.0,1.0,6267,48407,4.0,30464.0,1082,1965,1773,2091,2766,2488,1233,826,361,23,0,969,1627,1921,2580,3443,2408,1391,1061,387,64,5,87.0,443888.0,55418173.65,84512714823.0
삼성동,9725,4174,2568,1565,1073,271,74,5.0,0.0,2.0,6969,83.0,14.245,8,2.6025,4,0.14,0.0,0.0,2.0,1368,3064,0.0,40454.0,700,1232,2334,2544,2748,3704,3692,2142,962,74,4,576,1094,2132,1896,2426,3636,4226,2696,1404,224,8,9.0,312559.0,39549654.63,115091500.0
삼양동,10845,4677,2730,1822,1243,286,87,1.0,0.0,3.0,6579,81.0,13.848,5,0.9234,6,14.5,0.0,0.0,2.0,1562,4104,0.0,45394.0,1080,1802,2988,2790,3248,4170,3608,2064,818,60,0,1000,1548,2696,2466,3098,4182,3962,2402,1258,148,6,25.0,239410.0,46944204.5,1408326135.0
삼전동,16117,9006,3395,1995,1326,297,98,3.0,1.0,2.0,6346,79.0,16.56,23,0.9526,7,18.52,0.0,0.0,1.0,2884,12315,3.0,58488.0,1152,1854,4262,5960,4536,3900,3284,1708,500,30,0,1104,1748,5420,6640,4856,4410,4140,1982,838,156,8,73.0,231994.0,36058380.76,11610798605.0
삼청동,1116,545,261,139,110,43,18,0.0,0.0,0.0,743,6.0,82.935,57,1.4781,2,90.34,0.0,0.0,0.0,956,4978,3.0,4554.0,80,198,238,270,296,358,370,228,112,26,2,90,132,262,312,340,350,416,256,188,28,2,70.0,135165.0,61055498.41,17034484057.0
상계10동,7638,2200,2188,1697,1293,206,54,1.0,0.0,3.0,3751,56.0,14.719,10,0.8086,5,2.96,0.0,0.0,2.0,818,2515,0.0,36504.0,1206,1552,2154,2808,2568,2844,2234,1032,396,34,4,1196,1462,2502,2950,3012,3534,2920,1196,746,150,4,7.0,154628.0,733717.1667,8804606.0
상계1동,15602,4938,4170,3222,2531,589,152,3.0,0.0,5.0,10514,95.0,14.719,10,5.3985,10,124.53,0.0,0.0,3.0,3934,11608,2.0,74546.0,1914,3104,4644,4574,4992,6330,6058,3004,1156,114,4,1952,2894,4596,4462,5394,7082,6780,3354,1824,296,18,59.0,238468.0,23519620.28,4845041778.0
상계2동,8584,3425,1816,1620,1393,248,82,7.0,1.0,3.0,4920,68.0,14.719,10,0.6226,0,0.0,0.0,0.0,1.0,3325,11074,5.0,38810.0,736,1618,3040,2244,2588,3720,3124,1438,552,34,2,752,1700,2930,2080,2650,3826,3198,1544,886,138,10,113.0,419371.0,68008375.93,40056933423.0
상계3.4동,12366,4794,3129,2152,1756,425,110,6.0,1.0,4.0,7865,87.0,14.719,10,5.2077,5,0.1,1.0,1.0,2.0,1849,4821,0.0,49998.0,1152,1962,3028,2810,3516,4476,4394,2414,1104,74,2,1136,1608,2614,2346,3382,4488,4616,2928,1752,184,12,24.0,95711.0,29872004.3,597440086.0
상계5동,10900,4435,2864,1946,1283,310,62,5.0,2.0,1.0,6722,82.0,14.719,10,0.9062,1,0.07,0.0,0.0,1.0,2755,6516,2.0,46594.0,888,1816,3118,2784,3088,4270,3730,1984,830,94,2,854,1738,2936,2396,3130,4536,4098,2568,1482,242,10,40.0,153208.0,9943425.789,944625450.0
상계6.7동,13896,4936,3497,2867,2167,343,86,3.0,3.0,5.0,8646,90.0,14.719,10,1.4492,14,7.79,1.0,1.0,3.0,2685,18222,5.0,63568.0,2054,2830,3902,4526,4594,4960,3772,1852,762,86,0,1910,2696,4344,4800,5368,6112,4820,2410,1412,350,8,46.0,320944.0,85403681.35,3416147254.0
상계8동,9119,2461,2687,2188,1498,250,35,1.0,0.0,5.0,6110,78.0,14.719,10,0.6658,10,8.34,0.0,0.0,2.0,824,1943,1.0,44018.0,2002,1822,2438,4608,3608,2886,2044,1114,440,54,4,1940,1816,2416,4728,3790,3252,2720,1390,790,154,2,15.0,83143.0,45552860.58,7024251101.0
상계9동,8333,2440,2379,1859,1390,223,42,1.0,1.0,3.0,5535,73.0,14.719,10,0.7189,5,2.56,0.0,0.0,3.0,1036,2848,0.0,39614.0,1126,1824,2502,2638,2792,3218,2604,1282,512,68,0,1046,1724,2412,2664,3290,3794,3268,1652,978,218,2,9.0,143389.0,117253963.8,5745444225.0
상도1동,22783,11843,4298,3414,2603,496,129,3.0,1.0,5.0,10765,96.0,34.41,43,1.4875,3,0.23,0.0,0.0,2.0,2616,9396,2.0,88674.0,2218,3208,10618,5950,5674,6134,5040,2848,1250,116,6,2210,3304,9688,5774,6096,6718,6000,3682,1818,298,24,73.0,817282.0,32743981.03,11493137343.0
상도2동,12550,5159,2730,2299,1910,351,101,1.0,1.0,1.0,7247,85.0,17.205,28,0.7723,7,1.04,0.0,0.0,1.0,1855,5790,1.0,55272.0,2262,2118,3784,4198,4542,3892,3086,1728,774,80,4,2170,1924,4360,4638,4536,4224,3620,2066,1064,196,6,38.0,350454.0,16372089.5,2079255366.0
상도3동,12227,6050,2731,1846,1237,263,100,5.0,0.0,1.0,6116,78.0,17.205,28,0.6367,5,1.04,0.0,0.0,0.0,1613,3766,0.0,48178.0,948,1498,3804,3946,3266,3586,3136,1856,808,54,0,922,1388,4512,3800,3278,3906,3756,2350,1224,132,8,25.0,229561.0,34123897.28,2832283474.0
상도4동,14106,6836,3213,2192,1446,339,80,3.0,2.0,3.0,7222,85.0,17.205,28,0.9389,1,0.03,0.0,0.0,1.0,1614,3516,1.0,56090.0,1328,1898,4154,4770,4156,4132,3836,2036,884,70,0,1224,1682,4426,4462,3874,4606,4272,2768,1322,186,4,22.0,198854.0,14699512.02,720276089.0
상봉1동,10153,3524,2574,2067,1604,318,66,0.0,0.0,2.0,6209,78.0,15.673,17,0.8534,1,0.18,0.0,0.0,1.0,1952,6705,0.0,46750.0,1546,1872,2998,3436,3384,3714,3634,1490,632,20,0,1510,1684,3088,3422,3252,4208,3872,1876,946,164,2,38.0,242901.0,15806856.58,679694833.0
상봉2동,12476,7909,2427,1303,663,131,43,6.0,0.0,1.0,3999,58.0,15.673,17,0.6769,3,0.46,0.0,0.0,0.0,3344,9431,4.0,40442.0,748,702,3334,4646,2612,2968,2616,1234,478,60,2,744,620,4792,4802,2320,2848,2660,1480,646,116,14,55.0,390795.0,38487004.01,10930309138.0
상암동,12709,4741,2643,2435,2231,543,116,1.0,4.0,5.0,8467,90.0,15.34,15,8.3963,18,30.06,3.0,2.0,3.0,4109,51381,8.0,59922.0,2112,3798,3732,3228,4914,5052,3010,1576,706,70,2,1758,3850,4752,3872,5644,4900,3576,2018,1144,200,8,151.0,837102.0,50223425.02,39827176041.0
상일1동,13608,2173,3003,3709,3882,691,150,1.0,0.0,5.0,9347,92.0,17.327,28,1.8122,9,73.05,0.0,0.0,3.0,1679,7035,0.0,39283.0,2384,2380,1751,2409,3952,2648,2419,1082,249,19,1,2302,2266,1741,2891,3981,2753,2649,996,327,79,4,40.0,274791.0,35036700.63,7549241097.0
상일2동,4832,1654,1048,884,889,290,67,0.0,0.0,1.0,9347,92.0,17.327,28,1.8122,9,73.05,0.0,0.0,1.0,475,13978,1.0,11923.0,519,703,738,779,867,838,582,371,134,16,2,522,681,891,884,950,917,770,470,233,55,1,10.0,135335.0,35036700.63,7549241097.0
서강동,12146,5950,2321,2003,1515,262,95,2.0,0.0,0.0,5516,73.0,83.866,57,1.4775,8,6.66,0.0,0.0,1.0,2846,10812,3.0,49274.0,1720,1708,4430,3866,3766,3502,2588,1198,620,56,0,1558,1722,5052,4256,3898,3848,2808,1598,922,156,2,83.0,213970.0,30203417.57,13953978917.0
서교동,15264,10315,2545,1279,866,191,68,2.0,0.0,2.0,4487,64.0,44.462,47,1.6777,7,0.8,0.0,0.0,1.0,13024,61160,13.0,48514.0,632,1040,5080,5156,3244,2918,2044,1238,642,80,2,704,1080,7042,5592,3660,3208,2374,1666,924,186,2,406.0,1696882.0,41191817.25,153069000000.0
서림동,15222,10548,2434,1225,761,198,56,0.0,0.0,3.0,4559,64.0,14.245,8,0.9405,4,0.4,0.0,0.0,1.0,1644,3444,2.0,47150.0,668,984,6556,5990,3762,3306,2722,1580,634,28,0,596,966,5044,3554,2440,2738,2876,1764,802,134,6,30.0,351524.0,8605913.873,1084345148.0
서빙고동,5106,1684,1197,929,924,289,83,1.0,0.0,2.0,3475,53.0,75.71,55,2.8198,3,5.15,3.0,1.0,1.0,777,6126,0.0,25088.0,732,1344,1646,1412,2134,2090,1636,628,428,60,6,652,1418,1564,1424,2320,2278,1562,828,788,134,4,9.0,206875.0,7629105.75,122065692.0
서원동,15166,10530,2584,1151,683,162,56,1.0,1.0,0.0,4177,60.0,14.245,8,0.6471,5,20.43,0.0,0.0,0.0,1911,8436,2.0,45912.0,542,832,6758,5854,3032,2622,2336,1466,612,26,0,522,714,6306,3976,2302,2750,2746,1658,770,88,0,61.0,861988.0,98893065.94,15427318286.0
서초1동,9492,4339,1827,1575,1322,290,139,3.0,0.0,1.0,5275,71.0,13.996,6,1.3816,3,0.25,0.0,0.0,1.0,5686,42507,7.0,40654.0,1264,1944,2660,3098,3362,3104,2292,1338,462,72,2,1098,1774,2768,3570,3838,3220,2568,1516,596,108,0,98.0,380953.0,44654373.85,41483913306.0
서초2동,11852,5167,2243,2093,1847,376,126,3.0,1.0,1.0,4575,65.0,13.996,6,1.23,3,0.24,2.0,1.0,1.0,8772,71566,3.0,53634.0,2166,2612,3144,4582,4634,3616,2498,1506,592,52,2,2186,2476,4068,5404,5224,3656,2828,1712,560,108,8,90.0,616891.0,69291710.14,106848000000.0
서초3동,15309,7290,2993,2336,2015,469,206,2.0,0.0,0.0,7070,84.0,31.201,39,2.9963,7,0.23,0.0,0.0,1.0,12046,84922,6.0,64080.0,1606,3082,4646,4992,4406,5014,3612,2114,880,86,4,1564,2352,5810,5886,5250,5168,3952,2406,1044,194,12,166.0,681269.0,38236282.14,26612452368.0
서초4동,10711,2282,2011,2654,3038,567,159,1.0,2.0,3.0,8751,91.0,13.996,6,0.8791,2,0.74,0.0,0.0,2.0,4302,31706,4.0,60588.0,2634,4344,3390,2654,5486,5262,2964,1908,850,82,0,2432,3962,3412,3560,6326,5038,3184,2108,844,146,2,63.0,367843.0,51841737.92,22523507070.0
석관동,16696,7405,4154,2846,1804,379,108,5.0,0.0,3.0,9603,93.0,15.673,17,1.7037,3,0.25,2.0,1.0,2.0,3072,8770,1.0,68438.0,1784,2118,4610,4880,4826,5686,5464,2950,1362,82,6,1662,1980,4826,4540,4512,5732,5700,3718,1782,216,2,44.0,258340.0,43898926.38,6101950767.0
석촌동,17070,9468,3654,2154,1385,302,107,6.0,0.0,2.0,6742,82.0,16.56,23,0.9462,5,5.53,0.0,0.0,1.0,4113,17243,4.0,61818.0,1290,1700,4522,6490,4618,4238,3774,1912,708,54,0,1292,1636,5706,6930,4796,4522,4378,2254,852,142,4,100.0,404570.0,20176396.3,6052918889.0
성내1동,8235,2695,2021,1793,1353,277,96,1.0,0.0,1.0,5141,70.0,17.327,28,0.6632,3,1.91,2.0,2.0,2.0,3082,17417,1.0,19580.0,723,815,1214,1431,1586,1412,1255,684,237,21,1,650,807,1304,1569,1679,1567,1471,796,306,51,1,56.0,159374.0,21148733.66,7338610579.0
성내2동,13048,7375,2848,1657,893,207,68,5.0,3.0,0.0,5714,74.0,17.327,28,0.6247,1,0.37,0.0,0.0,0.0,2617,7288,1.0,22747.0,472,533,1532,2149,1636,1765,1787,955,351,30,0,398,507,1964,1954,1473,1706,1918,1071,481,62,3,43.0,275850.0,6697025.485,1339405097.0
성내3동,10615,4513,2550,1825,1369,277,81,10.0,0.0,2.0,5534,73.0,17.327,28,0.6469,3,0.56,0.0,0.0,0.0,3220,9494,3.0,22559.0,539,914,1699,1721,1650,1824,1526,868,281,14,2,482,646,1626,1601,1750,1998,1938,991,422,63,4,57.0,153218.0,39764056.25,15269397600.0
성북동,8136,4108,1819,1138,776,211,84,4.0,1.0,3.0,4140,60.0,54.85,51,2.8778,1,4.79,0.0,0.0,1.0,1790,6288,2.0,32124.0,622,1092,2366,2450,2126,2530,2018,1016,628,78,6,640,1076,2848,2566,2398,2880,2270,1414,918,176,6,71.0,357194.0,18089084.77,2622917291.0
성산1동,9484,4677,2191,1346,948,246,76,1.0,3.0,2.0,4358,62.0,13.844,5,0.8586,4,12.31,0.0,0.0,2.0,2506,11135,5.0,37264.0,744,1224,2902,3116,2912,2772,2082,1086,558,30,2,764,1392,3176,3418,3168,2996,2504,1552,776,84,6,42.0,220648.0,11729243.82,2920581712.0
성산2동,19494,9536,4179,2989,2210,458,122,11.0,2.0,4.0,10204,94.0,27.689,37,1.9773,11,9.0,1.0,1.0,3.0,3376,13659,2.0,77894.0,1912,3156,5050,5950,5406,5794,4054,2206,1044,120,2,1918,2982,8294,7398,6026,6168,4854,3456,1794,292,18,55.0,370508.0,53968342.41,5882549323.0
성수1가1동,7451,3284,1742,1260,929,179,57,0.0,0.0,3.0,3517,54.0,12.345,2,1.8844,3,25.68,0.0,0.0,2.0,2982,14473,1.0,31178.0,940,994,2268,2780,2110,2714,2466,894,326,24,4,844,896,2182,2868,2096,2872,2318,972,536,72,2,42.0,135806.0,13564036.63,3065472278.0
성수1가2동,5954,2797,1337,961,676,139,44,1.0,2.0,0.0,2994,49.0,12.345,2,0.9294,2,0.39,0.0,0.0,0.0,4784,26199,5.0,24156.0,600,818,1708,2314,1710,1900,1616,784,336,26,0,606,732,1880,2326,1858,1812,1702,908,454,66,0,101.0,161021.0,39719628.93,23275702553.0
성수2가1동,7672,3898,1744,1108,727,146,49,4.0,1.0,1.0,3948,58.0,12.345,2,1.1841,6,0.49,0.0,0.0,1.0,3557,20402,3.0,29694.0,640,748,1970,2622,2098,2762,2942,1122,448,30,0,594,760,1872,2282,1758,2468,2560,1276,656,82,4,53.0,140286.0,31176484.72,12345887950.0
성수2가3동,5266,2757,1096,698,546,128,41,3.0,2.0,1.0,2606,43.0,12.345,2,1.0537,11,1.58,0.0,0.0,1.0,8853,63385,5.0,20416.0,508,498,1636,1784,1424,1654,1598,774,310,24,2,444,484,1808,1878,1300,1562,1382,818,466,60,2,98.0,233581.0,68943622.87,29576814211.0
성현동,12242,4295,2993,2415,1999,435,105,2.0,0.0,3.0,8407,89.0,17.205,28,0.6777,0,0.0,0.0,0.0,2.0,1328,3238,1.0,56930.0,1664,2746,3748,3372,4414,4744,3560,2168,896,74,0,1538,2590,3662,3396,4656,4786,4420,2886,1432,168,10,15.0,294043.0,8738492.5,157292865.0
세곡동,19387,7022,4457,3501,3190,942,275,1.0,1.0,6.0,13179,98.0,49.197,48,6.3628,22,8.41,2.0,2.0,4.0,2466,9881,2.0,44205.0,1636,2542,2406,2907,3782,3053,2403,1400,523,56,5,1632,2508,2927,3482,4112,3193,2981,1560,889,201,7,53.0,461927.0,51776196.91,6368472220.0
소공동,1249,748,235,158,88,12,8,2.0,8.0,1.0,460,2.0,142.175,68,0.9431,6,1.74,1.0,1.0,1.0,5107,64308,7.0,4414.0,170,82,170,434,502,330,246,102,38,6,0,136,180,306,522,498,304,220,104,54,10,0,138.0,757146.0,74140552.51,184091000000.0
송정동,5407,3000,1155,666,451,110,25,1.0,0.0,1.0,2472,42.0,14.731,11,0.6814,2,0.1,0.0,0.0,1.0,1005,2879,0.0,19816.0,456,528,1532,1754,1506,1864,1820,728,260,18,0,370,464,1514,1362,1194,1618,1562,836,376,52,2,16.0,66640.0,20451561.32,961223382.0
송중동,13904,6288,3304,2275,1573,359,105,3.0,1.0,4.0,8125,88.0,13.848,5,1.075,5,0.41,0.0,0.0,2.0,3022,8752,1.0,57984.0,1366,1826,3806,3890,4272,4806,4442,2424,1058,80,0,1330,1934,3980,3794,4088,5214,5018,3058,1420,178,0,81.0,955265.0,47658223.84,7291708248.0
송천동,13114,6495,3251,1890,1186,231,61,7.0,0.0,1.0,7700,86.0,13.848,5,0.9292,2,0.23,0.0,0.0,2.0,2658,7730,0.0,50364.0,796,1414,3108,3206,3460,4756,4730,2396,1062,76,4,770,1364,3086,2718,3126,4578,4774,3156,1602,174,8,37.0,448989.0,16043854.33,978675114.0
송파1동,12519,6653,2714,1677,1107,280,88,2.0,0.0,3.0,5018,69.0,16.56,23,0.6864,6,2.74,0.0,0.0,1.0,3406,16572,2.0,47122.0,1018,1098,3642,5370,3164,2844,2770,1468,584,34,0,956,1246,4676,5284,3624,3550,3326,1698,648,118,4,100.0,271599.0,32513637.74,20516105411.0
송파2동,7150,1830,1645,1741,1520,326,88,3.0,0.0,4.0,5139,70.0,16.56,23,0.6305,5,3.27,0.0,0.0,1.0,1257,3951,1.0,37372.0,1386,1688,2246,2586,2880,2846,2598,1372,350,36,2,1236,1812,2556,2846,2988,3070,2990,1260,488,136,0,38.0,173269.0,9840075.889,265682049.0
수궁동,9991,3420,2789,1939,1382,349,112,1.0,0.0,1.0,6426,80.0,36.217,44,2.6594,5,0.32,2.0,1.0,1.0,1801,6447,0.0,22869.0,613,990,1421,1511,872,1783,994,994,340,26,851,587,835,1279,1486,800,1990,1107,1128,513,71,916,26.0,421390.0,39112593.41,2581431165.0
수색동,7779,2255,2036,1656,1428,325,79,3.0,0.0,2.0,2526,43.0,13.844,4,1.2893,1,0.03,0.0,0.0,1.0,791,2760,0.0,26478.0,966,950,1636,2094,1848,2272,1894,862,346,30,2,932,836,1636,2118,1770,2378,2028,1110,660,108,2,17.0,202454.0,34525454.48,4863485687.0
수서동,7743,3861,2237,968,523,116,38,1.0,0.0,4.0,4969,68.0,16.56,23,1.6281,4,0.88,0.0,0.0,1.0,2229,18865,1.0,14220.0,280,244,609,971,826,856,1405,905,285,33,2,292,253,546,973,805,1029,1874,1364,545,116,7,30.0,398636.0,60242955.67,10964217932.0
수유1동,10478,5246,2532,1523,897,208,72,13.0,0.0,2.0,5731,74.0,13.848,5,1.6487,3,0.33,0.0,0.0,2.0,2031,5815,1.0,40146.0,774,1252,2692,2928,2866,3294,3210,1794,746,96,2,752,1248,3056,2444,2426,3358,3594,2262,1184,162,6,44.0,305612.0,34541410.76,3676193002.0
수유2동,9828,4031,2654,1708,1092,267,76,2.0,0.0,3.0,6143,78.0,13.848,5,0.5812,3,0.28,0.0,0.0,0.0,1828,4637,0.0,41514.0,908,1302,2498,2560,2860,3390,3302,1854,948,80,4,838,1196,2870,2226,2692,3748,3942,2574,1510,210,2,31.0,259598.0,34541410.76,3676193002.0
수유3동,13560,8193,2715,1545,834,215,58,10.0,7.0,1.0,5598,73.0,13.848,5,0.7451,5,0.6,3.0,3.0,0.0,3235,9873,4.0,45912.0,670,1004,3904,3582,3196,3938,3468,1872,870,62,0,608,1084,4510,3070,2668,3838,3806,2370,1260,124,8,74.0,713471.0,34541410.76,3676193002.0
숭인1동,2994,1497,689,437,283,67,21,0.0,0.0,1.0,1575,29.0,14.146,7,0.2392,1,19.06,0.0,0.0,0.0,736,1897,1.0,11500.0,204,346,664,824,836,1070,922,474,186,18,0,204,338,740,786,804,1086,1014,552,370,60,2,6.0,71036.0,49066677.02,20405604305.0
숭인2동,6562,4734,978,473,294,71,12,4.0,0.0,0.0,1897,34.0,14.146,7,0.3516,1,2.39,0.0,0.0,0.0,2267,6053,1.0,19510.0,200,302,1852,1778,1178,1682,1532,728,296,26,0,202,330,2836,1768,1006,1424,1212,718,394,46,0,29.0,235412.0,18863346.12,641353768.0
시흥1동,16363,7932,3794,2479,1679,369,110,14.0,1.0,2.0,9466,93.0,14.245,8,1.5228,6,0.53,2.0,2.0,2.0,4103,15341,2.0,64634.0,1526,2162,4382,5098,4660,5566,5038,2588,1018,108,8,1390,1910,4514,4542,4266,5560,5444,3106,1506,236,6,72.0,654533.0,67542524.58,16750546096.0
시흥2동,8249,2280,2278,1723,1478,368,122,1.0,0.0,4.0,6400,80.0,14.245,8,1.3079,0,0.0,0.0,0.0,3.0,1090,2778,1.0,41278.0,1262,1884,2144,2216,2994,3428,3370,1700,674,46,4,1158,2108,2104,2248,3188,3828,3720,1964,1062,170,6,9.0,205974.0,21992093.1,439841862.0
시흥3동,4628,1591,1376,902,584,144,31,0.0,0.0,1.0,3066,49.0,14.245,8,1.2605,6,0.82,0.0,0.0,1.0,3839,9592,0.0,20786.0,424,626,1264,1440,1376,1786,1842,1106,386,16,0,450,618,1148,1256,1268,1908,2122,1080,602,66,2,13.0,102889.0,41532537.65,1661301506.0
시흥4동,9103,3535,2505,1629,1118,230,86,2.0,0.0,0.0,5803,75.0,14.245,8,0.8211,8,1.61,0.0,0.0,1.0,1171,2350,0.0,39472.0,806,1340,2478,2566,2580,3482,3688,1870,662,44,2,840,1274,2366,2296,2516,3788,3770,2060,922,118,4,13.0,139331.0,28314956.45,1189228171.0
시흥5동,9173,4191,2413,1431,857,226,55,3.0,0.0,2.0,5681,74.0,14.245,8,1.386,3,0.87,0.0,0.0,2.0,1517,3732,0.0,36842.0,778,1248,2294,2372,2508,3450,3294,1686,766,58,0,716,1204,2042,1938,2232,3234,3272,2310,1256,180,4,22.0,242460.0,38676797.7,2746052637.0
신길1동,11612,7365,2065,1177,777,187,41,2.0,0.0,0.0,4390,63.0,15.774,17,0.7224,2,8.01,0.0,0.0,1.0,1492,4556,1.0,38796.0,722,930,3486,4014,2760,3064,2554,1344,638,78,0,764,832,3914,3154,2250,2702,2704,1740,1004,136,6,23.0,259895.0,43889413.38,4827835472.0
신길3동,7562,3110,1836,1403,979,190,44,3.0,0.0,3.0,4788,67.0,15.774,17,0.5197,1,0.33,0.0,0.0,1.0,1274,2701,0.0,32502.0,1040,1084,1994,2474,2452,2716,2420,1256,524,32,0,1054,1034,1958,2396,2222,2692,2736,1510,802,96,10,16.0,178197.0,1349099.6,13490996.0
신길4동,5754,2397,1353,1077,743,155,29,1.0,0.0,3.0,2905,48.0,15.774,17,0.2919,0,0.0,0.0,0.0,1.0,620,1455,2.0,24692.0,808,888,1446,1926,1922,2004,1922,926,368,24,4,768,778,1436,1744,1768,2042,2108,1132,598,80,0,18.0,99544.0,3852266.833,46227202.0
신길5동,4607,1901,1139,793,603,136,35,2.0,0.0,1.0,3313,51.0,31.547,39,0.4943,2,4.27,0.0,0.0,1.0,721,2192,0.0,20224.0,690,700,1072,1394,1560,1662,1536,852,300,12,0,670,750,1166,1342,1464,1676,1834,980,480,84,0,8.0,153411.0,226548039.8,5663700994.0
신길6동,8775,4146,1965,1331,1033,238,62,2.0,0.0,2.0,4492,64.0,15.774,17,0.6555,1,0.12,0.0,0.0,1.0,1659,5235,0.0,36470.0,1068,1218,2708,3024,2562,2754,2494,1390,512,50,0,928,1050,3068,3052,2374,2852,2806,1586,840,132,2,40.0,244903.0,26424172.4,1189087758.0
신길7동,7898,2254,1895,1710,1618,345,76,3.0,0.0,2.0,5314,71.0,15.774,17,0.6395,1,0.16,0.0,0.0,1.0,996,3511,1.0,39696.0,2032,1908,2480,3266,3414,2832,2288,1066,446,54,0,1830,1666,2436,3290,3362,3060,2324,1242,606,92,2,21.0,270647.0,11067185.28,641896746.0
신내1동,14929,4020,3924,3164,2823,786,212,3.0,0.0,2.0,11798,97.0,15.673,17,2.6049,6,2.77,3.0,2.0,2.0,3257,15420,3.0,76628.0,2488,4042,4454,4562,5666,5834,5820,2920,1112,80,0,2428,3806,4238,4738,5918,6502,6512,3294,1846,352,16,48.0,427060.0,41104839.15,5590258125.0
신내2동,8928,3191,2470,1766,1194,241,66,3.0,0.0,5.0,6010,77.0,15.673,16,0.9106,5,114.53,1.0,1.0,4.0,1556,7186,1.0,39788.0,1018,1568,2178,2680,2890,3098,3122,1626,624,66,6,1036,1486,2152,2762,2858,3604,3732,1978,1126,166,12,22.0,236413.0,11865533.29,201714066.0
신당5동,5352,2778,1216,713,497,115,33,0.0,0.0,1.0,2447,41.0,14.146,7,0.3195,2,5.1,0.0,0.0,1.0,1552,4149,0.0,20196.0,488,452,1334,1738,1462,1816,1406,698,300,32,2,488,532,1690,1732,1360,1722,1428,948,486,80,2,20.0,144514.0,30218223.04,1601565821.0
신당동,4728,3146,869,399,225,68,21,0.0,1.0,1.0,1783,32.0,42.439,46,0.5345,0,0.0,0.0,0.0,1.0,12136,23988,0.0,15010.0,210,218,1128,1350,1068,1352,1190,634,230,24,0,274,276,1482,1306,934,1124,1074,666,386,82,2,64.0,137030.0,34494169.75,7485234835.0
신대방1동,10474,4246,2258,1867,1636,367,100,2.0,0.0,4.0,6864,83.0,15.774,17,0.6748,4,0.95,0.0,0.0,1.0,1453,3806,2.0,46738.0,1362,2178,3226,3096,3458,3784,2972,1542,690,66,2,1278,2338,3668,3062,3864,3840,3310,1916,936,150,0,32.0,145388.0,26856688.22,1960538240.0
신대방2동,10687,5046,2190,1646,1384,332,89,3.0,0.0,0.0,5181,70.0,15.774,17,0.9763,1,43.44,0.0,0.0,1.0,1810,18775,2.0,44270.0,1442,1870,3360,3706,3350,3016,2336,1342,692,28,2,1458,1744,4022,3964,3468,3160,2582,1756,836,130,6,59.0,268245.0,52926417.23,12543560884.0
신도림동,14050,3765,3333,3318,2984,493,157,1.0,1.0,3.0,9753,93.0,17.357,29,1.3918,3,0.83,0.0,0.0,2.0,3711,15112,1.0,35717.0,1588,1758,1927,2682,1683,2584,1164,1109,355,23,1468,1465,1786,2242,3054,1759,2675,1165,1138,478,79,1606,64.0,595310.0,55276120.67,9605288968.0
신림동,19120,16401,1863,516,266,58,16,7.0,0.0,0.0,2545,43.0,14.245,8,0.5408,2,0.35,0.0,0.0,0.0,2385,6024,3.0,46768.0,298,474,8780,7406,2918,2134,1444,790,396,12,2,262,558,9798,5096,1978,1480,1494,996,402,50,0,62.0,466126.0,66690148.87,25142186125.0
