adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1109073,삼각산동,9092,91,13.848,5,0.335,10
1109074,우이동,6205,78,30.837,39,0.674,39
1109075,인수동,9297,92,13.848,5,0.335,10
1110051,쌍문1동,6262,78,15.646,16,0.339,19
1110052,쌍문2동,5263,71,15.646,16,0.339,19
1110053,쌍문3동,4474,64,15.646,16,0.339,19
1110054,쌍문4동,4947,68,15.646,16,0.339,19
1110055,방학1동,7931,87,15.646,16,0.339,19
1110056,방학2동,5565,73,15.646,16,0.339,19
1110057,방학3동,8162,88,15.646,16,0.339,19
1110059,창1동,6851,83,15.646,16,0.339,19
1110060,창2동,7705,86,15.646,16,0.339,19
1110061,창3동,4029,59,15.646,16,0.339,19
1110062,창4동,6841,82,15.646,16,0.339,19
1110063,창5동,6478,80,15.646,16,0.339,19
1110064,도봉1동,6763,82,15.233,15,0.339,19
1110065,도봉2동,8456,89,15.233,15,0.339,19
1111051,월계1동,6172,78,13.848,5,0.335,10
1111052,월계2동,8167,88,13.848,5,0.335,10
1111053,월계3동,8860,91,13.848,5,0.335,10
1111056,공릉2동,9791,94,15.673,17,0.339,19
1111058,하계1동,6528,81,15.673,17,0.339,19
1111059,하계2동,5904,76,15.673,17,0.339,19
1111060,중계본동,6054,77,14.719,10,0.339,19
1111061,중계1동,6974,83,14.719,10,0.339,19
1111064,중계4동,6065,77,14.719,10,0.339,19
1111065,상계1동,10514,95,14.719,10,0.339,19
1111066,상계2동,4920,68,14.719,10,0.339,19
1111069,상계5동,6722,82,14.719,10,0.339,19
1111072,상계8동,6110,78,14.719,10,0.339,19
1111073,상계9동,5535,73,14.719,10,0.339,19
1111074,상계10동,3751,56,14.719,10,0.339,19
1111076,상계3.4동,7865,87,14.719,10,0.339,19
1111077,상계6.7동,8646,90,14.719,10,0.339,19
1111078,중계2.3동,10409,95,14.719,10,0.339,19
1111079,공릉1동,9433,93,15.673,17,0.339,19
1112051,녹번동,10392,95,13.483,3,0.333,9
1112052,불광1동,10702,95,13.483,2,0.333,9
1112055,갈현1동,5900,76,13.483,2,0.333,9
1112056,갈현2동,7462,86,13.483,2,0.333,9
1112057,구산동,8970,91,13.483,2,0.333,9
1112058,대조동,6713,82,13.483,2,0.333,9
1112059,응암1동,7242,85,13.844,4,0.321,6
1112060,응암2동,7857,87,13.844,4,0.321,6
1112065,신사1동,7117,84,13.844,4,0.321,6
1112066,신사2동,5594,73,13.844,4,0.321,6
1112067,증산동,4255,61,13.844,4,0.321,6
1112068,수색동,2526,43,13.844,4,0.321,6
1112071,진관동,16193,99,18.541,33,0.339,19
1112072,불광2동,7567,86,13.483,3,0.333,9
1112073,응암3동,7001,83,13.844,5,0.321,6
1112074,역촌동,12359,97,13.483,3,0.333,9
1113052,천연동,4956,68,59.24,52,1.469,54
1113062,홍제1동,6522,81,11.848,1,0.294,3
1113064,홍제3동,4516,64,11.848,1,0.294,3
1113065,홍제2동,3790,56,11.848,1,0.294,3
1113066,홍은1동,6521,81,13.844,4,0.321,6
1113068,홍은2동,6985,83,13.844,4,0.321,6
1113069,남가좌1동,4883,67,13.844,4,0.321,6
1113070,남가좌2동,7778,87,13.844,5,0.321,6
1113071,북가좌1동,5230,71,13.844,4,0.321,6
1113072,북가좌2동,8603,90,13.844,4,0.321,6
1113073,충현동,4863,67,59.24,52,1.469,54
1113074,북아현동,4086,59,11.848,1,0.294,3
1113075,신촌동,3104,50,63.233,52,1.523,55
1113076,연희동,9499,93,13.844,4,0.321,6
1114059,용강동,6094,77,109.256,60,1.934,58
1114060,대흥동,2839,47,49.545,48,0.97,46
1114061,염리동,3079,49,37.855,45,0.637,37
1114063,신수동,5562,73,86.02,57,1.637,55
