학교명,주소,행정동,위도,경도
서울봉은초등학교,서울특별시 강남구 학동로 610,삼성1동,37.5203876,127.06093
서울방현초등학교,서울특별시 서초구 효령로4길 58,방배3동,37.4761774,126.9897321
서울방일초등학교,서울특별시 서초구 방배로18길 52,방배1동,37.4869876,126.9998061
서울방배초등학교,서울특별시 서초구 방배중앙로13길 26,방배4동,37.4866884,126.9878076
서울반포초등학교,서울특별시 서초구 신반포로 55-4,반포본동,37.509554,127.0160828
서울반원초등학교,서울특별시 서초구 잠원로3길 28,반포3동,37.5097207,127.0050633
서울매헌초등학교,서울특별시 서초구 언남길 8,양재2동,37.4710387,127.0418519
서울도성초등학교,서울특별시 강남구 역삼로 313,역삼2동,37.5041178,127.0593771
서울도곡초등학교,서울특별시 강남구 선릉로64길 33,대치4동,37.49904435,127.0546963
서울대현초등학교,서울특별시 강남구 역삼로98길 16,대치2동,37.5035035,127.0647166
서울대치초등학교,서울특별시 강남구 양재천로 363,대치1동,37.4876669,127.0551027
서울대청초등학교,서울특별시 강남구 양재대로55길 28,일원1동,37.490633,127.0883533
서울대진초등학교,서울특별시 강남구 개포로109길 74,개포3동,37.4937374,127.0767334
서울대왕초등학교,서울특별시 강남구 헌릉로618길 8,세곡동,37.463676,127.1063516
서울대모초등학교,서울특별시 강남구 광평로20길 27,일원본동,37.4816994,127.0864459
서울대도초등학교,서울특별시 강남구 선릉로 209,도곡2동,37.5198446,127.0403194
서울대곡초등학교,서울특별시 강남구 남부순환로 3022,대치2동,37.4969596,127.0744299
서울논현초등학교,서울특별시 강남구 강남대로120길 33,논현1동,37.5076284,127.0284892
서울구룡초등학교,서울특별시 강남구 개포로 263,개포4동,37.48060215,127.0520606
서울개포초등학교,서울특별시 강남구 삼성로4길 30,개포2동,37.4866181,127.0689921
서울개일초등학교,서울특별시 강남구 개포로 401,개포2동,37.4857103,127.0580384
서울개원초등학교,서울특별시 강남구 선릉로 29,개포1동,37.4814065,127.0585139
계성초등학교,서울특별시 서초구 신반포로19길 23,반포2동,37.504275,126.9944798
유석초등학교,서울특별시 강서구 화곡로69길 9,등촌3동,37.5605276,126.8539662
서울신은초등학교,서울특별시 양천구 신정이펜2로 30,신정3동,37.5141099,126.8313378
서울화일초등학교,서울특별시 강서구 까치산로10길 70,화곡본동,37.5416391,126.8470009
서울화곡초등학교,서울특별시 강서구 초록마을로 28,화곡본동,37.5427051,126.8472693
서울탑산초등학교,서울특별시 강서구 허준로 109,가양2동,37.5664375,126.8525189
서울치현초등학교,서울특별시 강서구 방화대로47길 43,방화3동,37.5761858,126.8127048
서울지향초등학교,서울특별시 양천구 신정로11길 74,신정3동,37.5115004,126.8377484
서울정목초등학교,서울특별시 양천구 목동중앙로3길 30-10,목4동,37.53742445,126.8705443
서울정곡초등학교,서울특별시 강서구 방화대로50길 22,방화3동,37.5771132,126.8179574
서울장수초등학교,서울특별시 양천구 신정로13가길 30,신정3동,37.5121693,126.843483
서울은정초등학교,서울특별시 양천구 목동남로 85,신정7동,37.5098519,126.8698836
서울월촌초등학교,서울특별시 양천구 목동중앙로 132,목5동,37.54022525,126.8768431
서울월정초등학교,서울특별시 강서구 월정로 176,화곡1동,37.53301,126.8365271
서울우장초등학교,서울특별시 강서구 화곡로 263,화곡6동,37.5490624,126.846264
서울영도초등학교,서울특별시 양천구 목동중앙로 70,목5동,37.5320299,126.8682728
서울염창초등학교,서울특별시 강서구 양천로 646-28,염창동,37.5568502,126.8631112
서울염동초등학교,서울특별시 강서구 양천로73길 17,염창동,37.551736,126.8732382
서울염경초등학교,서울특별시 강서구 양천로69길 49,염창동,37.5548311,126.8720968
서울양화초등학교,서울특별시 양천구 목동중앙북로16길 57,목2동,37.54353165,126.874624
서울양천초등학교,서울특별시 강서구 양천로 329,가양1동,37.5568502,126.8631112
서울양원초등학교,서울특별시 양천구 화곡로 16,신월3동,37.5394403,126.8291177
서울양목초등학교,서울특별시 양천구 목동로11길 30,신정4동,37.5231607,126.862026
서울양명초등학교,서울특별시 양천구 중앙로 204,신정1동,37.5197122,126.8531251
서울양동초등학교,서울특별시 양천구 오목로23길 24,신정4동,37.5257497,126.8508336
서울양강초등학교,서울특별시 양천구 오목로 101,신월2동,37.5255269,126.8692563
서울신정초등학교,서울특별시 강서구 곰달래로31가길 27,화곡2동,37.5322543,126.8546247
서울신월초등학교,서울특별시 강서구 강서로31길 48,화곡1동,37.5392884,126.8389587
서울신원초등학교,서울특별시 양천구 남부순환로58길 32,신월3동,37.5294476,126.8314363
서울신서초등학교,서울특별시 양천구 목동서로10길 35,신정1동,37.52182,126.86288
서울신목초등학교,서울특별시 양천구 신목로5길 11-6,신정2동,37.5178506,126.8726772
서울신남초등학교,서울특별시 양천구 남부순환로83길 44,신월6동,37.5165285,126.8433556
서울신기초등학교,서울특별시 양천구 신정로 292,신정3동,37.5120789,126.8554161
서울신곡초등학교,서울특별시 강서구 등촌로13자길 42-14,화곡4동,37.5373096,126.8543981
서울신강초등학교,서울특별시 양천구 중앙로55길 72,신월2동,37.5261845,126.8454224
서울수명초등학교,서울특별시 강서구 수명로1길 84,발산1동,37.5526106,126.8238814
서울송화초등학교,서울특별시 강서구 방화대로34길 2,방화1동,37.56833535,126.8174606
서울송정초등학교,서울특별시 강서구 공항대로3길 18,공항동,37.5624805,126.8102574
서울서정초등학교,서울특별시 양천구 목동로8길 19,목1동,37.5146044,126.8713452
서울삼정초등학교,서울특별시 강서구 금낭화로 222,방화3동,37.57979,126.81088
서울백석초등학교,서울특별시 강서구 공항대로 491,등촌1동,37.5590279,126.8404125
서울방화초등학교,서울특별시 강서구 양천로6길 92,방화2동,37.5707907,126.8074712
서울발산초등학교,서울특별시 강서구 강서로45길 113,발산1동,37.55018155,126.8310476
서울목원초등학교,서울특별시 양천구 목동중앙로 204,목5동,37.5429087,126.8827322
서울목운초등학교,서울특별시 양천구 목동동로 235,목1동,37.5281789,126.8723294
서울목동초등학교,서울특별시 양천구 목동동로12길 12,신정2동,37.5222249,126.8762876
서울등현초등학교,서울특별시 강서구 화곡로65길 124,등촌3동,37.5612711,126.8477874
서울등촌초등학교,서울특별시 강서구 등촌로39길 71,등촌2동,37.5459865,126.8606064
서울등원초등학교,서울특별시 강서구 화곡로65길 90,등촌3동,37.5595576,126.8500736
서울등양초등학교,서울특별시 강서구 강서로56나길 140,등촌3동,37.5627175,126.8422659
서울등서초등학교,서울특별시 강서구 화곡로58길 86,화곡6동,37.5517807,126.8521252
서울등명초등학교,서울특별시 강서구 강서로56나길 34,등촌3동,37.5627175,126.8422659
서울등마초등학교,서울특별시 강서구 등촌로35길 12,등촌2동,37.542538,126.8628185
서울내발산초등학교,서울특별시 강서구 강서로46길 23,우장산동,37.5512805,126.8373998
서울남명초등학교,서울특별시 양천구 중앙로23길 3,신정3동,37.5162194,126.8538401
서울공항초등학교,서울특별시 강서구 마곡서1로 68,방화1동,37.56297475,126.8215978
서울공진초등학교,서울특별시 강서구 마곡서로 33,공항동,37.55785415,126.8226925
서울계남초등학교,서울특별시 양천구 목동동로2길 54,신정7동,37.5113215,126.8603794
서울경인초등학교,서울특별시 양천구 안양천로 1009,목5동,37.507944,126.8718711
서울개화초등학교,서울특별시 강서구 양천로 11,방화1동,37.5568502,126.8631112
서울강월초등학교,서울특별시 양천구 신월로 97,신월7동,37.5145678,126.8311568
