호선,역명,승하차인원,도로명주소,행정동,위도,경도
5호선,영등포구청,7702.935484,서울특별시 영등포구 양산로 지하116,당산1동,37.52422661,126.8952891
5호선,영등포시장,20329.58065,서울특별시 영등포구 양산로 지하200,영등포동,37.52273452,126.9049592
5호선,오금,6465.580645,서울특별시 송파구 오금로 지하321,오금동,37.50226598,127.1278792
5호선,오목교,40510.6129,서울특별시 양천구 오목로 지하342,목1동,37.52445007,126.8753546
5호선,올림픽공원,8879.483871,서울특별시 송파구 양재대로 지하1233,오륜동,37.51608765,127.1306001
5호선,왕십리,8993.451613,서울특별시 성동구 왕십리로 지하300,행당1동,37.56122174,127.0366554
5호선,우장산,26260.77419,서울특별시 강서구 강서로 지하262,우장산동,37.5490002,126.8364089
5호선,을지로4가,11528.70968,서울특별시 중구 창경궁로 지하51,을지로동,37.56752502,126.9980596
5호선,장한평,33791.6129,서울특별시 동대문구 천호대로 지하405,장안1동,37.56150268,127.0644211
5호선,종로3가,27253.41935,서울특별시 종로구 돈화문로11길 지하 26,종로1.2.3.4가동,37.57256956,126.9900617
5호선,천호,35482.32258,서울특별시 강동구 천호대로 지하997,성내2동,37.53857898,127.1237424
5호선,청구,6794.645161,서울특별시 중구 청구로 지하77,신당동,37.56029391,127.013806
5호선,충정로,8048.516129,서울특별시 서대문구 충정로 지하 28-1,충현동,37.56099344,126.9633733
5호선,행당,13870.58065,서울특별시 성동구 행당로 지하89,행당2동,37.55727844,127.029232
5호선,화곡,49750.3871,서울특별시 강서구 화곡로 지하168,화곡1동,37.54143362,126.8404965
6호선,고려대,14512.70968,서울특별시 성북구 종암로 지하1,종암동,37.59064969,127.0362849
6호선,공덕,32883.12903,서울특별시 마포구 백범로 지하200,공덕동,37.54352692,126.9519476
6호선,광흥창,16543.0,서울특별시 마포구 독막로 지하165,서강동,37.54748607,126.9319392
6호선,구산,12792.67742,서울특별시 은평구 연서로 지하137-1,구산동,37.61121222,126.9171824
6호선,녹사평,9275.193548,서울특별시 용산구 녹사평대로 지하195,용산2가동,37.53483142,126.9870285
6호선,대흥,15766.67742,서울특별시 마포구 대흥로 지하85,대흥동,37.54766835,126.9424653
6호선,독바위,5277.387097,서울특별시 은평구 불광로 지하129-1,불광1동,37.61839888,126.9328101
6호선,돌곶이,17326.70968,서울특별시 성북구 화랑로 지하243,장위2동,37.6105507,127.0564252
